Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Antibiotics,Symptoms
Chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Cefuroxime, Clarithromycin","itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Cefuroxime, Clarithromycin","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Cefuroxime, Clarithromycin","itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Metronidazole, Ciprofloxacin","itching, skin_rash, burning_micturition, spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, skin_rash, stomach_pain, spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, skin_rash, stomach_pain, burning_micturition"
Drug Reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","skin_rash, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction,itching,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, stomach_pain, burning_micturition, spotting_ urination"
Drug Reaction,itching,skin_rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Metronidazole, Ciprofloxacin","itching, skin_rash, burning_micturition, spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, skin_rash, stomach_pain, spotting_ urination"
Drug Reaction,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, skin_rash, stomach_pain, burning_micturition"
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine","vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine.","indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Omeprazole, Clarithromycin, Ranitidine","vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine","vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine.","vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Omeprazole, Metronidazole, Ranitidine","vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine.","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine.","vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching"
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Omeprazole, Ranitidine.","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,"Amoxicillin, Cefixime, Azithromycin, Ciprofloxacin, Clarithromycin","patches_in_throat, high_fever, extra_marital_contacts"
AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefixime, Clarithromycin, Doxycycline","muscle_wasting, high_fever, extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,,"Amoxicillin, Ciprofloxacin, Azithromycin, Metronidazole, Clarithromycin","muscle_wasting, patches_in_throat, extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,,"Amoxicillin, Ciprofloxacin, Azithromycin, Metronidazole, Clarithromycin","muscle_wasting, patches_in_throat, high_fever"
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,"Amoxicillin, Ciprofloxacin, Azithromycin, Clarithromycin, Metronidazole","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,"Amoxicillin, Cefixime, Azithromycin, Ciprofloxacin, Clarithromycin","muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts"
AIDS,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,"Amoxicillin, Cefixime, Azithromycin, Ciprofloxacin, Clarithromycin","patches_in_throat, high_fever, extra_marital_contacts"
AIDS,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Cefixime, Clarithromycin, Doxycycline","muscle_wasting, high_fever, extra_marital_contacts"
AIDS,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,,"Amoxicillin, Ciprofloxacin, Azithromycin, Metronidazole, Clarithromycin","muscle_wasting, patches_in_throat, high_fever"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"Amoxicillin, Ciprofloxacin, Azithromycin, Clarithromycin, Metronidazole","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Ciprofloxacin","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria"
Diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria"
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Metronidazole, Azithromycin, Clindamycin","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin.","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin.","sunken_eyes, dehydration, diarrhoea"
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin","vomiting, dehydration, diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin.","vomiting, sunken_eyes, diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,dehydration,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin","vomiting, sunken_eyes, dehydration"
Gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,"Amoxicillin, Cefdinir, Azithromycin, Cefuroxime, Cefpodoxime","vomiting, sunken_eyes, dehydration, diarrhoea"
Gastroenteritis,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin.","sunken_eyes, dehydration, diarrhoea"
Gastroenteritis,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin","vomiting, dehydration, diarrhoea"
Gastroenteritis,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin.","vomiting, sunken_eyes, diarrhoea"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,"Amoxicillin, Cefuroxime, Metronidazole, Azithromycin, Ciprofloxacin","fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, cough, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, cough, high_fever, family_history, mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, cough, high_fever, breathlessness, mucoid_sputum"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, cough, high_fever, breathlessness, family_history"
Bronchial Asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","cough, high_fever, breathlessness, family_history, mucoid_sputum"
Bronchial Asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","fatigue, high_fever, breathlessness, family_history, mucoid_sputum"
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, chest_pain, loss_of_balance, lack_of_concentration"
Hypertension,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, chest_pain, dizziness, lack_of_concentration"
Hypertension,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, chest_pain, dizziness, loss_of_balance"
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","chest_pain, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, dizziness, loss_of_balance, lack_of_concentration"
Hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","headache, chest_pain, loss_of_balance, lack_of_concentration"
Migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
Migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,,,,,,,,,,"Amoxicillin, Cephalexin, Azithromycin, Clindamycin, Metronidazole","indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances"
